Ref_No	Local_Accession_No	Map_Reference	MapArea	MapLong	MapLat	Town_Village	Location	Title	Further_Information	Date_of_Image	Date_Period	Photographer	Artist	Engraver	Publisher	Acknowledged	Form_of_Acknowledgment	Language_single	Format_single	Publishers_single	License_single	Audience_single	Key_Terms	Keywords
NTGM004088	90349	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road/Peel Street	Golden Fleece, Mansfield Road, 1995	 	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	brick built sash windows mullioned windows sign pub public house corner inn	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004100	90365-2	SK5740		52.95435674	-1.153011124	Nottingham	North Sherwood Street	Hole in the Wall (The), North Sherwood Street, 1995	 	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house brick porch curved railings signs mullioned windows	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004107	90371	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street	Langtry's public house, South Sherwood Street, 1995	Formerly 'The Peach Tree' (1761-1981), renamed after actress Lily Langtry	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house flowers sign sash windows street furniture railings	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004108	92603	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	Ledgers public house, Mansfield Road, 1996	The pub was known as 'The Mansfield Arms' from 1894 until 1973, 'The Regent' until 1983 and 'Blueberry's' until 1988.	July 1996	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house brick cladding mullioned windows lanterns lighting	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004111	90374	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	Lincolnshire Poacher public house, Mansfield Road, 1995	Formerly the 'Old Grey Nag's Head', the name was changed in 1989.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house brick stone lintels sash windows street furniture	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004127	92602	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	Filly and Firkin public house, Mansfield Road, 1996	The architect of this building was Watson Fothergill. It was formerly called 'Rose of England', later the 'Yorker'. It has since reverted to 'Rose of England'.	July 1996	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown, LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub public house inn sign gables dormer windows balcony bay windows chimney porch mullioned windows half-timbered	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004191	1110	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	The Nags Head	Criminals were given there last drink here on their way to the gallows at the top of the hill. Frogmore Street is on the right.	1944	14_The_1940s	Spencer, W				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn exterior recreation leisure door pediment rendered quoins crime punishment street mullion windows	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004202	Misc 190	SK5740		52.95435674	-1.153011124	Nottingham	Meynell Street - Platt Street	The Grapes public house	&amp;lt;p&amp;gt;On the corner of Meynell Street and Platt Street.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Israel Horton was the Beerhouse Keeper at the Grapes in 1901 (confirmed with the county library). He was also innkeeper at the Red Lion pub at 91 Manvers Street during the mid 1880s to 1890s.&amp;lt;/p&amp;gt;	April 15th 1929	12_The_1920s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	inn pub exterior painted brick sign mullion pediment corner windows street factory cobbles people home ales	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004207	91377	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	York House and The Filly and Firkin (Rose of England) Pub, Mansfield Road 1995	West side, on Mansfield Road showing York House behind and the entrance to the Victoria Centre car park. York house was once used by Nottingham Technical College (Trent Polytechnic-Nottingham Trent University) and the BBC. The Rose of England Public House Built in 1899 by Watson Fothergill for the Nottingham Brewery Co. It would have been a convenient refreshment stop for passengers using the nearby Victoria Station, completed a year later. There was a public room, a parlour and a commercial room on the ground floor; upstairs was a clubroom and the two top stories provided private accommodation for the landlord and his family Whitbread Brewery re-opened it as 'The Yorker' in October 1967. After a brief spell as the City Alehouse, in August 1993 it was taken over by Firkin Breweries and was called the 'Filly &amp; Firkin'. It has since reverted to its former name of Rose of England.	1995	19_The_1990s	Raven, Christina				Yes	Christina Raven	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	modern concrete block offices road pub BBC cars broadcasting college polytechnic watson fothergill inn oriel windows loggia brick stone porch	Buildings_and_Structures Hotels_Inns_and_Public_Houses Buildings_and_Structures Offices
NTGM004210	90043	SK5740		52.95435674	-1.153011124	Nottingham	South Sherwood Street - Forman Street	Langtry's Public House	The pub is named after Lily Langtry. She was born Lily Breton in Jersey in 1853. The daughter of the dean of the island, she married Edward Langtry in 1874. She did not make her first stage appearance until 1881 but soon obtained the reputation as one of Britain's most beautiful actresses. Nicknamed the Jersey Lily, Langtry became the mistress of the Prince of Wales, the future Edward VII. Lily Langtry died in 1929. There are many photographs of her, and posters of her performances inside the pub.	4 May 1989	18_The_1980s	Ritchie, Dorothy				Yes	J D Whitworth	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	inn pub victorian georgian stucco facade windows rendered street pavement actress sign flowers	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004224	76667	SK5740		52.95435674	-1.153011124	Nottingham	Mansfield Road	Oskar J Spielberg music bar (formerly The Criterion public house)	This is the rear of the building. The front is situated opposite the Mansfield Road - Huntingdon Street Junction	September 1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn georgian terrace mullion windows door rear yard steps music performance brick	Buildings_and_Structures Hotels_Inns_and_Public_Houses Leisure_and_Recreation Music_and_Performances
NTGM004257	68383-1	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	St Ann's Well Road	Pint and Pot (The), St Ann's Well Road, St Ann's, 1984	In 1994 the name of the pub was changed to the 'Welcome Inn'.	November 1984	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn mullioned windows gable wooden cladding	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004258	68383-2	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	St Ann's Well Road	Pint and Pot (The), St Ann's Well Road, St Ann's, 1984	In 1994 the name of the pub was changed to the 'Welcome Inn'.	November 1984	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign snooker painted painting	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004259	68383-1	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	St Ann's Well Road	Pint and Pot (The), St Ann's Well Road, St Ann's, 1984	In 1994 the name of the pub was changed to the 'Welcome Inn'.	November 1984	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn mullioned windows gable gates car park mullioned windows	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004266	64963	SK5740		52.95435674	-1.153011124	Nottingham	Glasshouse Street	Owd Boots, Glasshouse Street, 1983	The photograph above also shows the 'Foresters Arms' on St Ann's Street. The 'Owd Boots' was named the 'White Hart' up to December 1982.	May 1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign entablature gables hipped roof sash windows pedestrians	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004267	93488	SK5740		52.95435674	-1.153011124	Nottingham	Glasshouse Street	Owd Boots, Glasshouse Street, 1995	The 'Owd Boots' was named the 'White Hart' up to December 1982.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign entablature gables sash windows pedestrians car motor vehicle street furniture	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004268	91532	SK5740		52.95435674	-1.153011124	Nottingham	Glasshouse Street	Owd Boots, Glasshouse Street, 1997	The 'Owd Boots' was named the 'White Hart' up to December 1982.	1997	19_The_1990s	Sharp, Anne				Yes	Anne Sharp	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign entablature doors boots footwear	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004271	64731-1	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Lower)	Old Dog and Partridge public house, Parliament Street (Lower), 1983	Church Street East can be seen to the right of the public house.	June 1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign entablature mullioned windows quoins street pedestrians	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004272	64731-2	SK5740		52.95435674	-1.153011124	Nottingham	Parliament Street (Lower)	Old Dog and Partridge public house, Parliament Street (Lower), 1983	A photograph showing the public house's sign.	June 1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign dog bird painted painting	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004273	65064	SK5740		52.95435674	-1.153011124	Nottingham,_Sneinton	Bath Street	Market Side (The), Bath Street, Sneinton, 1983	 	August 1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	public house pub inn sign cement rendered sash windows brick bar car motor vehicle	Buildings_and_Structures Hotels_Inns_and_Public_Houses Natural_World_Landscape_and_Views Streetscene
NTGM004283	90430	SK5740		52.95435674	-1.153011124	Nottingham	North Sherwood Street	The Sir Charles Napier Public House	Named after General Sir Charles Napier. He was Commander in Chief of troops in the north of England between 1839 and 1841, which was the period of the first violent outbreak of Chartism. Napier was a down-to-earth man with a well-developed social conscience; he had little sympathy with politicians whatever their party but he did have a great deal of sympathy with the poor in the north. He wrote an account which tells of the mayor and gentry of Nottingham helping the poor, many of which were Chartists, to subvert the 1834 Poor Law Amendment Act by raising a public subscription (in it he recognised the hatred of those in need of welfare relief of the 'new' system, which would force them into The Workhouse. The public subscription would give money directly to those in need.). Information extracted from Sir William Napier's, 'Life of General Sir Charles James Napier (1857, II, 111-133)'.	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn brick street mullion windows archway lamps sign flowers	Buildings_and_Structures Hotels_Inns_and_Public_Houses
NTGM004284	90431	SK5740		52.95435674	-1.153011124	Nottingham	North Sherwood Street	The Sir Charles Napier Public House - sign	Named after General Sir Charles Napier 1782-1853. He served with distinction in the Napoleonic Wars. Stationed (1822-30) on the Greek island of Cephalonia, he became acquainted with Lord Byron and was asked, although he declined, to command the Greek independence forces. He was Commander in Chief of troops in the north of England between 1839 and 1841, which was the period of the first violent outbreak of Chartism. Napier was a down-to-earth man with a well-developed social conscience; he had little sympathy with politicians whatever their party but he did have a great deal of sympathy with the poor in the north. He wrote an account which tells of the mayor and gentry of Nottingham helping the poor, many of which were Chartists, to subvert the 1834 Poor Law Amendment Act by raising a public subscription (in it he recognised the hatred of those in need of welfare relief of the 'new' system, which would force them into The Workhouse. The public subscription would give money directly to those in need.).In 1841 Napier went to India, where he undertook the conquest (1843) of Sind. He served as governor of Sind until 1847. (Information extracted from Sir William Napier's, 'Life of General Sir Charles James Napier (1857, II, 111-133). The sign shows him here erroneously portrayed on board ship in a naval uniform !	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	pub inn brick street mullion windows man naval military painting sign	Buildings_and_Structures Hotels_Inns_and_Public_Houses
